Neighbourhood Number,Total Number of Crimes,Population,Working Age (25-54 years),Seniors (65+ years), Average household size,Persons living alone (total),Total - Income statistics,Total - Low-income status,Total - Immigrant,  Total visible minority population,"Total - Highest certificate, diploma or degree",Total income: Average amount ($)
1.00,5702.00,33312.00,13845.00,4980.00,3.20,1800.00,1555.00,32885.00,32890.00,26945.00,27845.00,31771.00
2.00,2591.00,32954.00,13615.00,3560.00,3.32,1510.00,2230.00,32825.00,32830.00,28455.00,25730.00,26548.00
3.00,692.00,10360.00,4160.00,1880.00,3.09,575.00,605.00,10125.00,10125.00,6510.00,8395.00,32815.00
4.00,810.00,10529.00,4300.00,1730.00,2.69,985.00,685.00,10360.00,10360.00,5365.00,8725.00,34418.00
5.00,593.00,9456.00,3700.00,1275.00,2.93,640.00,800.00,9450.00,9445.00,6365.00,7640.00,32012.00
6.00,1255.00,22000.00,8635.00,3585.00,2.82,1760.00,1635.00,21985.00,21980.00,13130.00,17735.00,36674.00
7.00,1252.00,22156.00,8140.00,4905.00,2.60,2170.00,1255.00,22140.00,22150.00,8870.00,18585.00,44177.00
8.00,509.00,10948.00,3790.00,3045.00,2.45,1210.00,670.00,10115.00,10115.00,2745.00,8660.00,45615.00
9.00,634.00,15535.00,5940.00,3290.00,2.43,1785.00,780.00,15195.00,15200.00,3230.00,13075.00,101551.00
10.00,563.00,11051.00,3825.00,2025.00,2.86,555.00,380.00,11045.00,11050.00,2105.00,9270.00,99055.00
11.00,787.00,18588.00,6910.00,3765.00,2.70,1430.00,965.00,18520.00,18525.00,5130.00,15890.00,47002.00
12.00,413.00,10554.00,3600.00,2705.00,2.43,1180.00,470.00,10445.00,10450.00,1395.00,9110.00,62378.00
13.00,515.00,11848.00,5025.00,2060.00,2.50,1290.00,760.00,11465.00,11470.00,4520.00,9770.00,38255.00
14.00,3287.00,43965.00,20640.00,7405.00,2.24,6655.00,2175.00,43225.00,43220.00,16035.00,37405.00,52787.00
15.00,496.00,9271.00,3245.00,1995.00,2.56,850.00,255.00,9170.00,9165.00,1100.00,7580.00,144642.00
16.00,1148.00,25051.00,10660.00,4165.00,2.40,3025.00,1125.00,24890.00,24890.00,4595.00,20840.00,64140.00
17.00,2568.00,33964.00,17695.00,5160.00,1.87,8205.00,1560.00,33305.00,33325.00,10395.00,29840.00,54438.00
18.00,996.00,11463.00,5215.00,1525.00,2.10,2200.00,745.00,11290.00,11290.00,3615.00,9680.00,44101.00
19.00,725.00,10084.00,4705.00,1405.00,2.09,1875.00,570.00,10065.00,10060.00,2305.00,8730.00,47384.00
20.00,545.00,12054.00,5220.00,2015.00,2.60,1105.00,600.00,12030.00,12025.00,2490.00,10265.00,47709.00
21.00,1670.00,12416.00,4855.00,2380.00,3.18,630.00,675.00,12410.00,12410.00,8140.00,10255.00,30731.00
22.00,1521.00,15545.00,6445.00,2160.00,3.07,855.00,1145.00,15535.00,15535.00,11970.00,12585.00,29528.00
23.00,928.00,10722.00,4645.00,1590.00,2.89,745.00,570.00,10715.00,10710.00,4675.00,8975.00,39003.00
24.00,2069.00,21737.00,8525.00,2870.00,2.94,1660.00,2145.00,21550.00,21565.00,17435.00,16965.00,25989.00
25.00,2776.00,30491.00,11590.00,5005.00,3.04,1955.00,2905.00,30220.00,30215.00,23155.00,24425.00,27984.00
26.00,3974.00,35052.00,15045.00,5535.00,2.67,3420.00,2445.00,34935.00,35000.00,20070.00,29270.00,34168.00
27.00,3989.00,27593.00,12290.00,3530.00,2.71,2660.00,1835.00,27565.00,27565.00,19135.00,23520.00,29958.00
28.00,607.00,9941.00,3615.00,1865.00,2.67,890.00,1105.00,9750.00,9755.00,5810.00,7820.00,31800.00
29.00,410.00,10111.00,4110.00,2030.00,2.77,765.00,560.00,9865.00,9860.00,4300.00,8370.00,37108.00
30.00,1162.00,17757.00,7625.00,2130.00,2.73,1550.00,1600.00,17700.00,17700.00,11630.00,14340.00,32483.00
31.00,1998.00,14804.00,5860.00,3295.00,2.62,1350.00,905.00,14025.00,14030.00,6340.00,12065.00,38527.00
32.00,1248.00,22372.00,8385.00,3725.00,2.65,2820.00,1340.00,21885.00,21890.00,8855.00,17080.00,48134.00
33.00,1117.00,16472.00,7470.00,2375.00,2.51,2040.00,750.00,16420.00,16420.00,6305.00,13655.00,51181.00
34.00,727.00,15873.00,6655.00,2940.00,2.56,1655.00,805.00,15575.00,15575.00,5420.00,13265.00,45936.00
35.00,1218.00,26274.00,10865.00,5130.00,2.55,2745.00,1590.00,26070.00,26115.00,11715.00,22720.00,32724.00
36.00,1693.00,23831.00,10410.00,4165.00,2.64,2150.00,1200.00,23630.00,23625.00,13825.00,20830.00,34904.00
37.00,1035.00,16936.00,7480.00,3370.00,2.22,2650.00,600.00,16725.00,16670.00,9630.00,14860.00,44576.00
38.00,929.00,16164.00,7590.00,2160.00,2.44,1880.00,655.00,16060.00,16065.00,6930.00,13650.00,72371.00
39.00,1240.00,23236.00,8410.00,3980.00,2.68,2390.00,770.00,23110.00,23110.00,4845.00,18560.00,123077.00
40.00,987.00,17812.00,6800.00,3235.00,2.75,1305.00,800.00,17675.00,17675.00,8940.00,15040.00,100516.00
41.00,560.00,9266.00,3090.00,1785.00,2.83,620.00,270.00,9185.00,9185.00,2765.00,7745.00,308010.00
42.00,1205.00,27695.00,10810.00,6975.00,2.23,4360.00,1170.00,26995.00,27000.00,12700.00,23390.00,67757.00
43.00,1158.00,17510.00,7170.00,3405.00,2.32,2650.00,1215.00,17180.00,17180.00,10155.00,14550.00,35786.00
44.00,1163.00,21933.00,9185.00,2980.00,2.80,1975.00,1255.00,21905.00,21920.00,17220.00,17535.00,28654.00
45.00,1752.00,34805.00,14780.00,5250.00,2.61,3365.00,2385.00,34730.00,34730.00,19075.00,28890.00,42516.00
46.00,570.00,15818.00,6470.00,3195.00,2.86,1025.00,760.00,15810.00,15805.00,10155.00,13760.00,36346.00
47.00,1495.00,27051.00,11860.00,4700.00,2.69,2115.00,1355.00,26820.00,26815.00,19025.00,22770.00,37379.00
48.00,810.00,16934.00,6060.00,4305.00,2.64,1480.00,865.00,16920.00,16920.00,12785.00,14805.00,40442.00
49.00,539.00,13154.00,4490.00,3685.00,2.70,975.00,625.00,12660.00,12665.00,8250.00,11155.00,47246.00
50.00,853.00,16097.00,6860.00,3320.00,2.54,1590.00,655.00,15530.00,15535.00,11215.00,13950.00,45212.00
51.00,1904.00,50434.00,25850.00,6270.00,2.25,7380.00,2205.00,50250.00,50260.00,37715.00,44330.00,45326.00
52.00,927.00,21396.00,10310.00,3615.00,2.22,3195.00,960.00,21135.00,21140.00,14505.00,18725.00,52035.00
53.00,787.00,15723.00,8045.00,1460.00,2.47,1790.00,705.00,15710.00,15715.00,12030.00,13210.00,36359.00
54.00,1420.00,18675.00,7855.00,2690.00,2.48,2210.00,1160.00,18500.00,18500.00,6975.00,15395.00,43907.00
55.00,903.00,21108.00,9020.00,2365.00,2.93,1915.00,785.00,20840.00,20835.00,16495.00,15245.00,28875.00
56.00,582.00,16828.00,6455.00,2550.00,2.59,1770.00,600.00,16635.00,16640.00,2935.00,13365.00,125564.00
57.00,593.00,11499.00,5680.00,1865.00,2.00,2440.00,615.00,11330.00,11330.00,3135.00,9875.00,44557.00
58.00,479.00,9233.00,4035.00,1520.00,2.43,1115.00,465.00,9215.00,9220.00,2470.00,7735.00,53315.00
59.00,666.00,17180.00,7930.00,2655.00,2.43,2020.00,795.00,17080.00,17085.00,5090.00,14055.00,51846.00
60.00,377.00,7865.00,3790.00,1095.00,2.27,1105.00,400.00,7850.00,7850.00,2435.00,6690.00,47710.00
61.00,1147.00,15683.00,7580.00,1705.00,2.47,1905.00,840.00,15485.00,15485.00,10355.00,12530.00,30430.00
62.00,1895.00,21381.00,9990.00,2650.00,2.29,3175.00,1165.00,21010.00,21010.00,6475.00,17295.00,54324.00
63.00,1116.00,21567.00,9590.00,2955.00,2.27,3255.00,855.00,21440.00,21440.00,2980.00,17625.00,92580.00
64.00,877.00,12541.00,6165.00,1380.00,2.28,1865.00,645.00,12425.00,12430.00,3380.00,10110.00,55199.00
65.00,1155.00,14417.00,7240.00,1640.00,2.37,1950.00,760.00,14375.00,14375.00,5625.00,11925.00,46206.00
66.00,841.00,9666.00,4370.00,1515.00,2.44,1195.00,370.00,9595.00,9590.00,2480.00,7950.00,55225.00
67.00,707.00,7804.00,3725.00,1220.00,2.14,1455.00,255.00,7640.00,7640.00,1560.00,6490.00,70831.00
68.00,888.00,11916.00,5490.00,1660.00,2.33,1660.00,455.00,11680.00,11680.00,2815.00,9735.00,73253.00
